Alert ID,Ticker,Name,Description,Time
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""decision_change"",""previousAction"":""DO_NOT_HOLD"",""rawLongSignal"":true,""rawShortSignal"":false,""rawLongCondition"":true,""rawShortCondition"":false,""newLongTouch"":false,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""long"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.1115166667,""notTooEarly"":false,""longSnapback"":false,""shortSnapback"":true,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""long"",""time"":1782687600000,""timestamp"":1782687600000,""candleTime"":1782687600000,""alertTime"":1782687606691,""open"":52087.25,""high"":52087.25,""low"":52077.85,""close"":52079.25,""upper"":52092.5582273415,""lower"":52078.553352307,""bandWidth"":14.0048750345,""touchDepth"":0.703352307,""touchDepthRatio"":0.0502219624,""entry"":52078.553352307,""stop"":52073.6516460449,""target"":52084.4353998215,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-28T23:00:06Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""first_touch"",""previousAction"":"""",""rawLongSignal"":true,""rawShortSignal"":false,""rawLongCondition"":true,""rawShortCondition"":false,""newLongTouch"":true,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""long"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.0950333333,""notTooEarly"":false,""longSnapback"":false,""shortSnapback"":true,""longPushThrough"":true,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""NO TRADE. Do not fight this move."",""direction"":""long"",""time"":1782687600000,""timestamp"":1782687600000,""candleTime"":1782687600000,""alertTime"":1782687605703,""open"":52087.25,""high"":52087.25,""low"":52077.85,""close"":52077.85,""upper"":52092.5582273415,""lower"":52078.553352307,""bandWidth"":14.0048750345,""touchDepth"":0.703352307,""touchDepthRatio"":0.0502219624,""entry"":52078.553352307,""stop"":52073.6516460449,""target"":52084.4353998215,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired, but price is still pushing through the band.""}",2026-06-28T23:00:05Z
5021621720,"ALCHEMY:US500.R, 5m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""5"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782687000000,""alertTime"":1782687000311,""open"":7392.85,""high"":7392.85,""low"":7392.85,""close"":7392.85,""upper"":7391.6461655699,""lower"":7378.998772374,""entry"":7391.6461655699,""stop"":7396.0727531885,""target"":7386.3342604277,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:50:00Z
5021621719,"ALCHEMY:US500.R, 3m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""3"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782686880000,""alertTime"":1782686995487,""open"":7391.6,""high"":7393.35,""low"":7391.59,""close"":7393.35,""upper"":7392.9850781034,""lower"":7386.2749204546,""entry"":7392.9850781034,""stop"":7395.3336332805,""target"":7390.1668118909,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:49:54Z
5021617523,"ALCHEMY:USTEC.R, 3m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:USTEC.R"",""timeframe"":""3"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782686880000,""alertTime"":1782686912734,""open"":29357.65,""high"":29371.15,""low"":29357.65,""close"":29371.15,""upper"":29367.4647217796,""lower"":29301.3986043204,""entry"":29367.4647217796,""stop"":29390.5878628903,""target"":29339.7169524467,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:48:32Z
5021617523,"ALCHEMY:USTEC.R, 3m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:USTEC.R"",""timeframe"":""3"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782686700000,""alertTime"":1782686717096,""open"":29361.9,""high"":29369.4,""low"":29361.65,""close"":29369.4,""upper"":29365.0640719813,""lower"":29279.5542268798,""entry"":29365.0640719813,""stop"":29394.9925177668,""target"":29329.1499370387,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:45:17Z
5021621719,"ALCHEMY:US500.R, 3m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""3"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782686700000,""alertTime"":1782686700627,""open"":7392.85,""high"":7392.85,""low"":7392.85,""close"":7392.85,""upper"":7392.186933706,""lower"":7383.2098821828,""entry"":7392.186933706,""stop"":7395.3289017391,""target"":7388.4165720663,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:45:00Z
5021621720,"ALCHEMY:US500.R, 5m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""5"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782686700000,""alertTime"":1782686700522,""open"":7392.85,""high"":7392.85,""low"":7392.85,""close"":7392.85,""upper"":7390.9187672364,""lower"":7377.5123466766,""entry"":7390.9187672364,""stop"":7395.6110144323,""target"":7385.2880706013,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:45:00Z
5021621720,"ALCHEMY:US500.R, 5m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""5"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782686400000,""alertTime"":1782686448409,""open"":7390.1,""high"":7391.6,""low"":7389.34,""close"":7391.6,""upper"":7390.0349472739,""lower"":7362.6566401215,""entry"":7390.0349472739,""stop"":7399.6173547772,""target"":7378.5360582699,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:40:48Z
5021621719,"ALCHEMY:US500.R, 3m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""3"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782685800000,""alertTime"":1782685823476,""open"":7389.84,""high"":7392.85,""low"":7389.84,""close"":7392.85,""upper"":7392.1263010794,""lower"":7377.7108660305,""entry"":7392.1263010794,""stop"":7397.1717033466,""target"":7386.0718183589,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:30:22Z
5021621719,"ALCHEMY:US500.R, 3m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""3"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782685620000,""alertTime"":1782685621423,""open"":7391.34,""high"":7391.34,""low"":7391.34,""close"":7391.34,""upper"":7390.5242806081,""lower"":7375.7289325122,""entry"":7390.5242806081,""stop"":7395.7026524417,""target"":7384.3102344078,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:27:01Z
5021606394,"ALCHEMY:JPN225.R, 1m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:JPN225.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782684840000,""alertTime"":1782684861156,""open"":70076.5,""high"":70119,""low"":70065.5,""close"":70119,""upper"":70109.2219295685,""lower"":69951.7532278258,""entry"":70109.2219295685,""stop"":70164.3359751784,""target"":70043.0850748365,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:14:21Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""decision_change"",""previousAction"":""DO_NOT_HOLD"",""rawLongSignal"":false,""rawShortSignal"":true,""rawLongCondition"":false,""rawShortCondition"":true,""newLongTouch"":false,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""short"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.2950333333,""notTooEarly"":false,""longSnapback"":true,""shortSnapback"":false,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""short"",""time"":1782684840000,""timestamp"":1782684840000,""candleTime"":1782684840000,""alertTime"":1782684857702,""open"":52083.25,""high"":52101.25,""low"":52082.85,""close"":52097.85,""upper"":52098.5643566919,""lower"":52056.2620685844,""bandWidth"":42.3022881075,""touchDepth"":2.6856433081,""touchDepthRatio"":0.0634869514,""entry"":52098.5643566919,""stop"":52113.3701575295,""target"":52080.7973956868,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-28T22:14:17Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""decision_change"",""previousAction"":""SKIP"",""rawLongSignal"":false,""rawShortSignal"":true,""rawLongCondition"":false,""rawShortCondition"":true,""newLongTouch"":false,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""short"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.2615333333,""notTooEarly"":false,""longSnapback"":true,""shortSnapback"":false,""longPushThrough"":false,""shortPushThrough"":true,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""NO TRADE. Do not fight this move."",""direction"":""short"",""time"":1782684840000,""timestamp"":1782684840000,""candleTime"":1782684840000,""alertTime"":1782684855692,""open"":52083.25,""high"":52100.85,""low"":52082.85,""close"":52100.85,""upper"":52098.3599562524,""lower"":52056.2620685844,""bandWidth"":42.0978876679,""touchDepth"":2.4900437476,""touchDepthRatio"":0.0591489,""entry"":52098.3599562524,""stop"":52113.0942169361,""target"":52080.6788434318,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired, but price is still pushing through the band.""}",2026-06-28T22:14:15Z
5021621718,"ALCHEMY:US500.R, 1m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:US500.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782684840000,""alertTime"":1782684847310,""open"":7388.09,""high"":7391.6,""low"":7388.09,""close"":7391.6,""upper"":7391.025282069,""lower"":7380.9362656714,""entry"":7391.025282069,""stop"":7394.5564378082,""target"":7386.787895182,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:14:06Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""first_touch"",""previousAction"":"""",""rawLongSignal"":false,""rawShortSignal"":true,""rawLongCondition"":false,""rawShortCondition"":true,""newLongTouch"":false,""newShortTouch"":true,""signalConflict"":false,""signalDirection"":""short"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.1115333333,""notTooEarly"":false,""longSnapback"":true,""shortSnapback"":false,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""short"",""time"":1782684840000,""timestamp"":1782684840000,""candleTime"":1782684840000,""alertTime"":1782684846692,""open"":52083.25,""high"":52097.25,""low"":52082.85,""close"":52097.25,""upper"":52096.702349976,""lower"":52056.2620685844,""bandWidth"":40.4402813916,""touchDepth"":0.547650024,""touchDepthRatio"":0.0135421912,""entry"":52096.702349976,""stop"":52110.856448463,""target"":52079.7174317915,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-28T22:14:06Z
5021617522,"ALCHEMY:USTEC.R, 1m","Brutus Playbook Alerts (9, high, low, 2, 0300-1200, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""symbol"":""ALCHEMY:USTEC.R"",""timeframe"":""1"",""action"":""DO_NOT_HOLD"",""plainAction"":""DO NOT HOLD: price is pushing through the band."",""direction"":""short"",""time"":1782684840000,""alertTime"":1782684845652,""open"":29302.4,""high"":29323.15,""low"":29302.4,""close"":29323.15,""upper"":29316.5138301884,""lower"":29241.3764394974,""entry"":29316.5138301884,""stop"":29342.8119169302,""target"":29284.9561260981,""reason"":""Price is still pushing through the band.""}",2026-06-28T22:14:05Z
5021593482,"ALCHEMY:DJ30.R, 1m","Brutus Playbook Alerts (0300-1200, First touch, 2, 0.35, 1.2): Any alert() function call","{""strategy"":""brutus_playbook_v1"",""playbookVersion"":""raw-parity-v10"",""rawSignal"":true,""decisionEvent"":""decision_change"",""previousAction"":""DO_NOT_HOLD"",""rawLongSignal"":false,""rawShortSignal"":true,""rawLongCondition"":false,""rawShortCondition"":true,""newLongTouch"":false,""newShortTouch"":false,""signalConflict"":false,""signalDirection"":""short"",""mode"":""first_touch"",""confirmed"":false,""modeReady"":true,""inSession"":false,""minutesIntoBar"":0.9115166667,""notTooEarly"":false,""longSnapback"":true,""shortSnapback"":false,""longPushThrough"":false,""shortPushThrough"":false,""symbol"":""ALCHEMY:DJ30.R"",""timeframe"":""1"",""action"":""SKIP"",""plainAction"":""SKIP. No trade."",""direction"":""short"",""time"":1782684720000,""timestamp"":1782684720000,""candleTime"":1782684720000,""alertTime"":1782684774691,""open"":52077.35,""high"":52095.35,""low"":52074.25,""close"":52090.35,""upper"":52091.3063211383,""lower"":52051.2466993469,""bandWidth"":40.0596217914,""touchDepth"":4.0436788617,""touchDepthRatio"":0.1009415137,""entry"":52091.3063211383,""stop"":52105.3271887653,""target"":52074.4812799859,""length"":9,""upperSource"":""high"",""lowerSource"":""low"",""stdDev"":2,""reason"":""Original Brutus signal fired outside the active session.""}",2026-06-28T22:12:54Z
